"","V1","Stolen From","Type","ZIP","Offense","Make","Caliber","Address","Date","Status"
"12","2","RESIDENCE/HOUSE","OIFLE","77013","BURGLARY HABITATION","MOSSBERG","","12967 HARVEY  LN,houston ,Texas ,77013","1/11/2011","S"
"13","3","RESTAURANT/CAFETERIA PARK","AMMUNITION","77040","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","UNKNOWN","0.4","12830 NORTHWEST  FWY,houston ,Texas ,77040","9/23/2010","S"
"14","4","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77092","THEFT (VEHICLE-OUTSIDE)","GLOCK","9 MILL","4250 34TH W ST,houston ,Texas ,77092","2/7/2010","G"
"15","5","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77055","ROBBERY (INJURY)","GLOCK","45 CAL","1370 AFTON  ST,houston ,Texas ,77055","4/13/2009","S"
"16","6","PARKING GARAGE","PISTOL, SEMIAUTOMATIC","77096","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","SMITH & WESSON","40 CAL","9550 MEYER FOREST  DR,houston ,Texas ,77096","7/11/2012","S"
"17","7","CONDOMINIUM","PISTOL, SEMIAUTOMATIC","77003","BURGLARY HABITATION","RUGER","45 CAL","1209 NAGLE  ,houston ,Texas ,77003","5/18/2010","S"
"18","8","DEPARTMENT/DISCOUNT STORE","UNKNOWN","77081","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","BERETTA","9 MILL","5727 RAMPART  ,houston ,Texas ,77081","3/12/2008","S"
"19","9","BAR/NIGHT CLUB PARKING LO","PISTOL, SEMIAUTOMATIC","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","40 CAL","3111 CHIMNEY ROCK  RD,houston ,Texas ,77056","5/8/2008","C"
"20","10","APARTMENT","RIFLE, SINGLE-SHOT","77067","BURGLARY HABITATION","UNKNOWN","410","1351 GREENS  PKWY,houston ,Texas ,77067","8/12/2012","S"
"21","1","APARTMENT","","77091","BURGLARY HABITATION","REMINGTON","0.25","480 PARKER W RD,houston ,Texas ,77091","4/28/2011","S"
"22","2","APARTMENT","SHOTGUN, SEMIAUTOMATIC","77034","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","1401 REDFORD  ,houston ,Texas ,77034","5/13/2009","S"
"23","3","RESIDENCE/HOUSE","UNKNOWN","77098","BURGLARY HABITATION","BROWNING ARMS CO","12 GAUGE","2501 BRANARD  ST,houston ,Texas ,77098","1/10/2009","S"
"24","4","APARTMENT","RIFLE","77092","THEFT/LOSS $200.00 OR MORE - F","","22","6150 TIDWELL W RD,houston ,Texas ,77092","2/15/2011","S"
"25","5","CONDOMINIUM","SHOTGUN, PUMP ACTION","77079","BURGLARY HABITATION","UNKNOWN","UNKNOWN","14103 MISTY MEADOW  LN,houston ,Texas ,77079","4/24/2009","S"
"26","6","HOTEL/MOTEL PARKING LOT","AMMUNITION","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","","1750 WEST LP S  ,houston ,Texas ,77027","2/19/2009","S"
"27","7","CONDOMINIUM","REVOLVER","77006","BURGLARY HABITATION","SMITH & WESSON","38","1908 BAILEY  ST,houston ,Texas ,77006","1/21/2010","S"
"28","8","RELIANT CENTER","GLOCK PISTOL","77054","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SMITH WESSON","","8503 FANNIN  ,houston ,Texas ,77054","9/26/2010","S"
"29","9","APARTMENT","AMMUNITION","77035","THEFT/(MISD B)","STEYR","","6405 BELLFORT W ST,houston ,Texas ,77035","8/18/2008","S"
"30","10","APARTMENT","PISTOL, SEMIAUTOMATIC","77054","BURGLARY HABITATION","BERSA","45","7100 ALMEDA  RD,houston ,Texas ,77054","8/15/2012","U"
"31","1","APARTMENT","3030","77067","BURGLARY HABITATION","MARLIN","3030","13355 NORTHBOROUGH  DR,houston ,Texas ,77067","9/8/2010","S"
"32","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77075","BURGLARY HABITATION","SMITH & WESSON","380 CAL","9334 KLONDIKE  ,houston ,Texas ,77075","8/23/2011","U"
"33","3","RESIDENCE/HOUSE","SHOTGUN","77078","BURGLARY HABITATION","SALVAGE ARMS STEVENS","","9419 NYSSA  ,houston ,Texas ,77078","6/29/2008","S"
"34","4","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77003","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","GLOCK","40","2300 PRESTON  ,houston ,Texas ,77003","6/23/2012","S"
"35","5","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77006","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","BERETTA","40 CAL","2350 BAGBY  ST,houston ,Texas ,77006","12/22/2008","S"
"36","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77062","BURGLARY HABITATION","HARRINGTON & RICHARDSON","22 CAL","839 RICHVALE  LN,houston ,Texas ,77062","11/19/2010","S"
"37","7","MULTI-PLEX HME(DUPLEX,TRI","PISTOL, SEMIAUTOMATIC","77072","BURGLARY HABITATION","GLOCK","40 CAL","12151 TROULON  DR,houston ,Texas ,77072","6/4/2010","S"
"38","8","RESIDENCE/HOUSE","PISTOL MAGAZINE","77048","THEFT/LOSS $200.00 OR MORE - F","GLOCK","40","11007 GLENHOLLOW  DR,houston ,Texas ,77048","7/2/2010","S"
"39","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77057","BURGLARY HABITATION","GLOCK","9 MILL","2277 WINROCK  BLVD,houston ,Texas ,77057","8/23/2011","S"
"40","1","APARTMENT","3030","77067","BURGLARY HABITATION","MARLIN","3030","13355 NORTHBOROUGH  DR,houston ,Texas ,77067","9/8/2010","S"
"41","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77075","BURGLARY HABITATION","SMITH & WESSON","380 CAL","9334 KLONDIKE  ,houston ,Texas ,77075","8/23/2011","U"
"42","3","RESIDENCE/HOUSE","SHOTGUN","77078","BURGLARY HABITATION","SALVAGE ARMS STEVENS","","9419 NYSSA  ,houston ,Texas ,77078","6/29/2008","S"
"43","4","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77003","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","GLOCK","40","2300 PRESTON  ,houston ,Texas ,77003","6/23/2012","S"
"44","5","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77006","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","BERETTA","40 CAL","2350 BAGBY  ST,houston ,Texas ,77006","12/22/2008","S"
"45","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77062","BURGLARY HABITATION","HARRINGTON & RICHARDSON","22 CAL","839 RICHVALE  LN,houston ,Texas ,77062","11/19/2010","S"
"46","7","MULTI-PLEX HME(DUPLEX,TRI","PISTOL, SEMIAUTOMATIC","77072","BURGLARY HABITATION","GLOCK","40 CAL","12151 TROULON  DR,houston ,Texas ,77072","6/4/2010","S"
"47","8","RESIDENCE/HOUSE","PISTOL MAGAZINE","77048","THEFT/LOSS $200.00 OR MORE - F","GLOCK","40","11007 GLENHOLLOW  DR,houston ,Texas ,77048","7/2/2010","S"
"48","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77057","BURGLARY HABITATION","GLOCK","9 MILL","2277 WINROCK  BLVD,houston ,Texas ,77057","8/23/2011","S"
"49","1","APARTMENT","3030","77067","BURGLARY HABITATION","MARLIN","3030","13355 NORTHBOROUGH  DR,houston ,Texas ,77067","9/8/2010","S"
"50","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77075","BURGLARY HABITATION","SMITH & WESSON","380 CAL","9334 KLONDIKE  ,houston ,Texas ,77075","8/23/2011","U"
"51","3","RESIDENCE/HOUSE","SHOTGUN","77078","BURGLARY HABITATION","SALVAGE ARMS STEVENS","","9419 NYSSA  ,houston ,Texas ,77078","6/29/2008","S"
"52","4","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77003","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","GLOCK","40","2300 PRESTON  ,houston ,Texas ,77003","6/23/2012","S"
"53","5","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77006","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","BERETTA","40 CAL","2350 BAGBY  ST,houston ,Texas ,77006","12/22/2008","S"
"54","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77062","BURGLARY HABITATION","HARRINGTON & RICHARDSON","22 CAL","839 RICHVALE  LN,houston ,Texas ,77062","11/19/2010","S"
"55","7","MULTI-PLEX HME(DUPLEX,TRI","PISTOL, SEMIAUTOMATIC","77072","BURGLARY HABITATION","GLOCK","40 CAL","12151 TROULON  DR,houston ,Texas ,77072","6/4/2010","S"
"56","8","RESIDENCE/HOUSE","PISTOL MAGAZINE","77048","THEFT/LOSS $200.00 OR MORE - F","GLOCK","40","11007 GLENHOLLOW  DR,houston ,Texas ,77048","7/2/2010","S"
"57","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77057","BURGLARY HABITATION","GLOCK","9 MILL","2277 WINROCK  BLVD,houston ,Texas ,77057","8/23/2011","S"
"58","1","RESIDENCE/HOUSE","SHOTGUN","77051","THEFT","MOSSBERG","","4421 MALLOW  ,houston ,Texas ,77051","9/6/2009","S"
"59","2","CONDOMINIUM","SHOTGUN, PUMP ACTION","77036","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","6000 REIMS  RD,houston ,Texas ,77036","7/13/2012","G"
"60","3","APARTMENT","SHOTGUN, BOLT ACTION","77025","BURGLARY HABITATION","BROWNING ARMS CO","12 GAUGE","7490 BROMPTON  ST,houston ,Texas ,77025","12/1/2010","S"
"61","4","HOTEL/MOTEL PARKING LOT","SHOTGUN, SINGLE-SHOT","77339","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","UNKNOWN","410 GAUGE","22790 EASTEX  FWY,houston ,Texas ,77339","5/20/2009","S"
"62","5","VACANT SINGLE OCCUPANCY R","PISTOL, SEMIAUTOMATIC","77047","BURGLARY HABITATION","RUGER","45 CAL","417 FELLOWS  ,houston ,Texas ,77047","5/3/2010","S"
"63","6","RESIDENCE/HOUSE","HANDGUN","77036","THEFT/(MISD B)","RAVIN","25 CAL","9514 TRIOLA  ,houston ,Texas ,77036","3/27/2008","C"
"64","7","HOTEL/MOTEL PARKING LOT","PISTOL, SEMIAUTOMATIC","77026","INVESTIGATION (BURGLARY AND THEFT)","GLOCK","40 CAL","4100 KING  ST,houston ,Texas ,77026","4/4/2009","S"
"65","8","APARTMENT","RIFLE, BOLT ACTION","77057","BURGLARY HABITATION","UNKNOWN","22 CAL","2525 AUGUSTA  DR,houston ,Texas ,77057","3/6/2012","S"
"66","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77007","THEFT/(FEL STATE JAIL)","SMITH & WESSON","9 MILL","314 COWAN E DR,houston ,Texas ,77007","1/1/2010","L"
"67","10","COMMERCIAL BUILDING","PISTOL, SEMIAUTOMATIC","77009","BURGLARY BUILDING","KAL TECK","9 MILL","5400 FULTON  ST,houston ,Texas ,77009","1/2/2008","S"
"68","1","BAR/NIGHT CLUB","PISTOL, SEMIAUTOMATIC","77088","CAPITAL MURDER/BY FIREARMS(PG) ML# 11-0341","RUGER","9 MILL","8370 NORTH HOUSTON ROSSLYN  RD,houston ,Texas ,77088","1/31/2011","S"
"69","2","OPTICAL LAB","PISTOL, SEMIAUTOMATIC","77081","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","CZ75 9MM","9 MILL","6914 ASHCROFT  DR,houston ,Texas ,77081","1/31/2008","S"
"70","3","STRIP BUSINESS CENTER PAR","PISTOL, SEMIAUTOMATIC","77072","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","9 MILL","11360 BELLAIRE  BLVD,houston ,Texas ,77072","10/1/2011","S"
"71","4","RESIDENCE/HOUSE","AMMUNITION 9MM - 1000","77017","BURGLARY HABITATION","","9","5504 SWEETBRIAR  ,houston ,Texas ,77017","9/23/2008","S"
"72","5","APARTMENT","SHOTGUN, PUMP ACTION","77081","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","5401 RAMPART  ,houston ,Texas ,77081","10/1/2009","S"
"73","6","RESTAURANT/CAFETERIA","PISTOL, SEMIAUTOMATIC","77040","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","RUGER","9","13050 NORTHWEST  FWY,houston ,Texas ,77040","8/18/2011","S"
"74","7","SPORTING GOODS/GUN SHOPS","PISTOL, REVOLVER","77031","THEFT (FIREARM) STATE JAIL-FELONY ONLY","RUGER","38 CAL","11886 WILCREST S DR,houston ,Texas ,77031","4/30/2009","C"
"75","8","STRIP BUSINESS CENTER PAR","SHOTGUN, SEMIAUTOMATIC","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","REMINGTON ARMS CO INC","12 GAUGE","915 SHEPHERD N DR,houston ,Texas ,77008","8/28/2008","S"
"76","9","TOWNHOME","PISTOL,SEMIAUTOMATIC","77074","BURGLARY HABITATION","SMITH & WESSON","9","8317 ARIEL  ST,houston ,Texas ,77074","6/27/2009","S"
"77","10","RESTAURANT/CAFETERIA","AMMUNITION","77038","THEFT/(MISD B)","WINCHESTER","40CAL","1823 MOUNT HOUSTON W RD,houston ,Texas ,77038","7/16/2011","S"
"78","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77096","BURGLARY HABITATION","UNKNOWN","9 MILL","9610 CLIFFWOOD  DR,houston ,Texas ,77096","5/27/2009","S"
"79","2","RESIDENCE/HOUSE","AK47","77026","BURGLARY HABITATION","CENTURY ARMS","7.62","2116 HARDY  ,houston ,Texas ,77026","5/28/2008","S"
"80","3","COMMERCIAL BUILDING","RIFLE, CARBINE","77032","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","MARLIN FIREARMS CO","30-30 CAL","15450 DIPLOMATIC PLAZA  ,houston ,Texas ,77032","12/19/2008","S"
"81","4","RESIDENCE/HOUSE","RIFLE","77091","BURGLARY HABITATION","UNKNOWN","*","6714 KNOX  ,houston ,Texas ,77091","11/7/2009","S"
"82","5","APARTMENT","PISTOL, SEMIAUTOMATIC","77089","LOST OR STOLEN","LUGER","9 MILL","11150 BEAMER  RD,houston ,Texas ,77089","11/2/2009","S"
"83","6","VACANT SINGLE OCCUPANCY R","SHOTGUN, PUMP ACTION","77020","BURGLARY HABITATION","UNKNOWN","12 GAUGE","3216 MARKET  ST,houston ,Texas ,77020","10/25/2011","S"
"84","7","CONDOMINIUM","RIFLE, SEMIAUTOMATIC","77019","BURGLARY HABITATION","COLT","223 CAL","1712 WEBSTER W ST,houston ,Texas ,77019","8/26/2010","S"
"85","8","CONDOMINIUM","PISTOL, REVOLVER","77036","BURGLARY HABITATION","UNKNOWN","38 CAL","7882 KENDALIA  DR,houston ,Texas ,77036","8/12/2012","S"
"86","9","MALL PARKING LOT","","77024","THEFT (TRUCK)","BEREEETA","40","12119 BARRYKNOLL  LN,houston ,Texas ,77024","7/17/2012","S"
"87","10","UNKNOWN","TASER","77073","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","","17000 ALDINE WESTFIELD  RD,houston ,Texas ,77073","5/21/2010","S"
"88","1","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77019","INVESTIGATION (AUTO THEFT)","RUGER","9 MILL","702 CLEVELAND  ST,houston ,Texas ,77019","5/9/2011","S"
"89","2","APARTMENT","PISTOL, SEMIAUTOMATIC","77093","INVESTIGATION (BURGLARY AND THEFT)","AK-47","270","2450 ALDINE WESTFIELD  RD,houston ,Texas ,77093","4/8/2012","S"
"90","3","APARTMENT PARKING LOT","AMMUNITION","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","J C HIGGANS","UNKNOWN","1640 T C JESTER W BLVD,houston ,Texas ,77008","2/22/2009","S"
"91","4","COMMERCIAL PARKING LOT/GA","RIFLE SCOPE","77072","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BUSHNELL","*","5995 ROGERDALE  RD,houston ,Texas ,77072","1/26/2012","S"
"92","5","APARTMENT","PISTOL, REVOLVER","77096","BURGLARY HABITATION","UNKNOWN","UNKNOWN","5400 BRAESVALLEY  DR,houston ,Texas ,77096","12/24/2010","S"
"93","6","TOW LOT","PISTOL, REVOLVER","77051","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","ROSSI","357","2910 HOLMES  RD,houston ,Texas ,77051","12/6/2011","S"
"94","7","RENTAL STORAGE FACILITY","PISTOL, SEMIAUTOMATIC","77027","BURGLARY BUILDING","UNKNOWN","25 CAL","4341 SOUTHWEST  FWY,houston ,Texas ,77027","2/6/2011","S"
"95","8","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77008","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","1262 PRINCE  ,houston ,Texas ,77008","8/24/2011","S"
"96","9","DEPARTMENT/DISCOUNT STORE","RECEIVER","77089","THEFT (FIREARM) STATE JAIL-FELONY ONLY","ROCK RIVER","*","11707 SOUTH SAM HOUSTON E PKWY,houston ,Texas ,77089","4/24/2008","S"
"97","10","OFFICE BUILDING PARKING L","MAGAZINES","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","","","11811 NORTH  FWY,houston ,Texas ,77060","1/5/2009","C"
"98","1","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77032","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","WALTHER","40 CAL","5607 SHIRLEY  LN,houston ,Texas ,77032","8/23/2008","C"
"99","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77074","BURGLARY HABITATION","SMITH & WESSON","45 CAL","6701 LANGDON  LN,houston ,Texas ,77074","11/7/2011","S"
"100","3","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77080","BURGLARY HABITATION","GLOCK","40 CAL","8646 RANNIE  RD,houston ,Texas ,77080","6/2/2009","S"
"101","4","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77489","BURGLARY HABITATION","UNKNOWN","12 GAUGE","15422 INDIAN WOODS  DR,houston ,Texas ,77489","5/22/2012","S"
"102","5","RESIDENCE/HOUSE","RIFLE, FLINTLOCK","77021","BURGLARY HABITATION","UNKNOWN","","6819 NEW YORK  ,houston ,Texas ,77021","7/2/2010","S"
"103","6","STRIP BUSINESS CENTER PAR","LCP","77025","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","RUGER","*","11263 MAIN  ST,houston ,Texas ,77025","4/8/2010","S"
"104","7","RESIDENCE/HOUSE","RIFLE SEMIAUTOMATIC","77055","BURGLARY HABITATION","SKS","7.62","1743 GINGERLEAF  LN,houston ,Texas ,77055","7/28/2012","S"
"105","8","MICRO CENTER","PISTOL, SEMIAUTOMATIC","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","TAURUS","40 CAL","1717 WEST LP S  ,houston ,Texas ,77027","4/6/2009","S"
"106","9","BAR/NIGHT CLUB PARKING LO","PISTOL, SEMIAUTOMATIC","77025","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","GLOCK","40","9585 MAIN  ST,houston ,Texas ,77025","6/23/2012","S"
"107","10","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","TAURUS","380 CAL","5745 WESTHEIMER  RD,houston ,Texas ,77057","5/21/2012","S"
"108","1","APARTMENT","","77043","BURGLARY HABITATION","JOSEPH GIBBONS","","10556 HAMMERLY  ,houston ,Texas ,77043","10/5/2011","S"
"109","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77042","BURGLARY HABITATION","RUGER","22 CAL","10827 MEADOW LAKE  LN,houston ,Texas ,77042","1/5/2010","S"
"110","3","RESIDENCE/HOUSE","MAGAZINE","77339","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","UNKNOWN","40","4235 HERMITAGE HOLLOW  LN,houston ,Texas ,77339","11/7/2011","S"
"111","4","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77099","BURGLARY HABITATION","SMITH & WESSON","380 CAL","11407 SOUTH  DR,houston ,Texas ,77099","8/25/2011","S"
"112","5","MISC. BUSINESS (NON-SPECI","PISTOL, SEMIAUTOMATIC","77099","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","BERETTA","9 MILL","12450 BISSONNET  ST,houston ,Texas ,77099","2/6/2012","S"
"113","6","APARTMENT","PISTOL, REVOLVER","77025","THEFT (AUTO CAR NOT TRUCK)/LOSS $200.00 OR MORE - F","UNKNOWN","22 CAL","6924 STELLA LINK  ,houston ,Texas ,77025","3/5/2010","C"
"114","7","RESIDENCE/HOUSE","RIFLE","77067","BURGLARY HABITATION","MARLIN","0.3","806 FOREST STAR  ,houston ,Texas ,77067","12/29/2009","S"
"115","8","RESIDENCE/HOUSE","PISTOL, REVOLVER","77077","BURGLARY HABITATION","SMITH WESSON","38 CAL","2114 SHADOWBRIAR  DR,houston ,Texas ,77077","12/21/2011","S"
"116","9","PARKING GARAGE- HOTEL","","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","","","2950 SAGE  RD,houston ,Texas ,77056","11/4/2008","S"
"117","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77016","THEFT/LOSS $200.00 OR MORE - F","BERETTA","380 CAL","10606 WOLBROOK  ,houston ,Texas ,77016","12/24/2009","C"
"118","1","COMMERCIAL BUILDING","PISTOL, SEMIAUTOMATIC","","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","TAURUS","40 CAL","1500 BEECHNUT  ST,houston ,Texas ,","12/22/2009","C"
"119","2","STORAGE FACILITY","RIFLE","77063","BURGLARY BUILDING","ARISKA","","9526 WESTHEIMER  RD,houston ,Texas ,77063","11/2/2008","S"
"120","3","DRIVEWAY","PISTOL, FULLY AUTOMATIC","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","SMITH & WESSON","40 CAL","382 SULKY  TRL,houston ,Texas ,77060","9/6/2010","S"
"121","4","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77089","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","9 MILL","12224 BEAMER  RD,houston ,Texas ,77089","10/9/2010","S"
"122","5","RESIDENCE/HOUSE","12 GAUGE """"RIOT""""","77061","BURGLARY HABITATION","WINCHESTER","12 GAUGE","7885 BROADVIEW  DR,houston ,Texas ,77061","7/30/2010","S"
"123","6","RESIDENCE/HOUSE","PISTOL, FULLY AUTOMATIC","77072","BURGLARY HABITATION","GLOCK","40 CAL","10723 HAZEN  ,houston ,Texas ,77072","6/27/2008","S"
"124","7","RESIDENCE/HOUSE","AMMUNITION","77016","BURGLARY HABITATION","","22","6303 GASTON  ST,houston ,Texas ,77016","5/28/2009","S"
"125","8","COMMERCIAL PARKING LOT/GA","PISTOL,SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","GLOCK","40","6010 RICHMOND  AVE,houston ,Texas ,77057","5/18/2011","S"
"126","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77078","BURGLARY HABITATION","UNKNOWN","32 CAL","8826 SULTAN  DR,houston ,Texas ,77078","4/5/2010","S"
"127","10","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77043","BURGLARY HABITATION","WARDS WESTERN FIELD","12 GAUGE","10215 CHATTERTON  ,houston ,Texas ,77043","3/13/2012","S"
"128","1","RESIDENCE/HOUSE","PISTOL, REVOLVER","77459","BURGLARY HABITATION","UNKNOWN","357 CAL","7414 BRIARGATE  CT,houston ,Texas ,77459","1/3/2010","S"
"129","2","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77029","THEFT (AUTO)/(FEL 3RD DEG)","JIMINEZ JANINE","9 MILL","302 MCCARTY  ,houston ,Texas ,77029","1/30/2009","S"
"130","3","RESIDENCE/HOUSE","RIFLE, SINGLE-SHOT","77007","BURGLARY HABITATION","RUGER","7 MILL","1704 SANDMAN  ,houston ,Texas ,77007","10/26/2010","S"
"131","4","RESIDENCE/HOUSE","HANDGUN","77017","BURGLARY HABITATION","COLT","45","128 ROCKLEIGH PLACE  ,houston ,Texas ,77017","11/19/2008","S"
"132","5","APARTMENT PARKING LOT","PISTOL, REVOLVER","77088","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","SMITH & WESSON","38 CAL","8034 ANTOINE  DR,houston ,Texas ,77088","6/12/2009","S"
"133","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77076","THEFT (FIREARM) STATE JAIL-FELONY ONLY","COLT","357 CAL","33 PARKER  RD,houston ,Texas ,77076","6/20/2010","S"
